"Date","Price","Open","High","Low","Vol.","Change %"
"02-11-2020","132.85","133.65","134.00","131.10","40.39M","0.15%"
"30-10-2020","132.65","133.20","134.50","130.30","51.13M","0.57%"
"29-10-2020","131.90","132.00","133.00","130.00","66.63M","-2.15%"
"28-10-2020","134.80","139.00","143.25","133.50","152.36M","-0.63%"
"27-10-2020","135.65","134.15","136.75","130.85","56.86M","1.46%"
"26-10-2020","133.70","138.40","140.80","131.25","88.53M","-2.41%"
"23-10-2020","137.00","134.90","138.90","134.10","68.71M","2.62%"
"22-10-2020","133.50","129.70","134.60","128.45","48.81M","2.50%"
"21-10-2020","130.25","131.05","133.10","128.30","39.25M","0.46%"
"20-10-2020","129.65","128.10","130.30","126.35","27.47M","1.09%"
"19-10-2020","128.25","129.80","130.40","127.80","33.16M","0.39%"
"16-10-2020","127.75","129.40","130.05","126.00","62.55M","0.63%"
"15-10-2020","126.95","131.50","134.35","126.50","64.00M","-2.87%"
"14-10-2020","130.70","133.75","134.65","128.80","45.79M","-2.54%"
"13-10-2020","134.10","135.40","137.10","132.85","38.97M","-1.32%"
"12-10-2020","135.90","139.65","139.65","133.00","39.28M","-1.84%"
"09-10-2020","138.45","141.15","142.65","138.00","37.10M","-1.77%"
"08-10-2020","140.95","142.85","143.50","139.60","40.94M","-0.04%"
"07-10-2020","141.00","144.25","144.50","139.80","68.27M","-2.59%"
"06-10-2020","144.75","138.00","145.80","136.00","162.05M","8.10%"
"05-10-2020","133.90","136.95","137.50","132.05","55.27M","0.30%"
"01-10-2020","133.50","135.90","136.50","132.55","40.49M","0.15%"
"30-09-2020","133.30","131.55","134.40","130.30","48.86M","1.21%"
"29-09-2020","131.70","134.95","136.00","130.70","63.37M","-0.87%"
"28-09-2020","132.85","128.90","134.30","127.50","61.83M","4.40%"
"25-09-2020","127.25","123.70","128.35","123.10","65.04M","3.62%"
"24-09-2020","122.80","127.90","128.80","122.15","62.42M","-6.54%"
"23-09-2020","131.40","135.50","136.70","127.90","74.98M","-1.28%"
"22-09-2020","133.10","138.00","138.15","129.65","87.30M","-3.16%"
"21-09-2020","137.45","147.75","147.75","135.50","64.74M","-7.07%"
"18-09-2020","147.90","148.70","150.50","146.25","46.27M","0.17%"
"17-09-2020","147.65","150.80","151.00","146.20","48.12M","-2.51%"
"16-09-2020","151.45","149.20","154.30","148.55","85.06M","2.06%"
"15-09-2020","148.40","149.40","149.40","146.55","42.89M","-0.10%"
"14-09-2020","148.55","147.20","151.10","145.50","84.51M","2.95%"
"11-09-2020","144.30","143.10","146.80","141.65","65.14M","0.70%"
"10-09-2020","143.30","142.80","144.50","138.00","79.61M","2.28%"
"09-09-2020","140.10","141.00","141.75","135.70","105.36M","-1.55%"
"08-09-2020","142.30","149.45","149.60","141.20","76.30M","-4.75%"
"07-09-2020","149.40","150.00","152.00","148.00","82.62M","1.08%"
"04-09-2020","147.80","147.90","153.65","147.00","95.57M","-2.67%"
"03-09-2020","151.85","151.60","155.20","149.55","110.16M","1.03%"
"02-09-2020","150.30","144.30","151.65","141.45","74.95M","4.52%"
"01-09-2020","143.80","143.40","145.15","140.40","58.81M","0.42%"
"31-08-2020","143.20","144.50","147.95","138.20","160.56M","0.28%"
"28-08-2020","142.80","144.15","146.20","140.50","95.20M","-1.01%"
"27-08-2020","144.25","140.10","146.85","139.30","181.38M","4.60%"
"26-08-2020","137.90","130.50","139.00","128.35","197.52M","8.50%"
"25-08-2020","127.10","121.80","128.35","121.10","90.27M","4.87%"
"24-08-2020","121.20","122.00","123.00","120.80","31.30M","0.25%"
"21-08-2020","120.90","124.20","124.20","120.15","48.65M","-0.66%"
"20-08-2020","121.70","123.45","125.65","121.10","43.53M","-2.76%"
"19-08-2020","125.15","127.00","127.60","124.75","45.13M","-0.36%"
"18-08-2020","125.60","124.00","127.50","123.60","62.15M","1.66%"
"17-08-2020","123.55","124.50","126.25","120.60","61.15M","-0.84%"
"14-08-2020","124.60","131.15","132.65","123.70","75.03M","-4.99%"
"13-08-2020","131.15","126.10","131.90","124.40","95.49M","4.63%"
"12-08-2020","125.35","121.00","126.40","120.60","50.72M","2.49%"
"11-08-2020","122.30","125.00","125.80","121.40","50.23M","-1.25%"
"10-08-2020","123.85","119.95","124.70","119.70","71.10M","3.99%"
"07-08-2020","119.10","117.00","119.70","116.00","56.49M","1.97%"
"06-08-2020","116.80","116.20","117.70","115.50","60.09M","1.21%"
"05-08-2020","115.40","112.40","117.65","112.00","99.37M","3.54%"
"04-08-2020","111.45","112.95","115.10","110.80","95.91M","-1.42%"
"03-08-2020","113.05","103.00","114.40","102.90","194.77M","8.03%"
"31-07-2020","104.65","104.00","105.40","102.30","33.81M","0.96%"
"30-07-2020","103.65","106.40","106.75","102.85","33.38M","-1.99%"
"29-07-2020","105.75","108.10","108.75","104.85","44.56M","-0.66%"
"28-07-2020","106.45","102.30","107.20","102.00","64.27M","4.67%"
"27-07-2020","101.70","104.00","104.50","101.30","29.65M","-1.98%"
"24-07-2020","103.75","104.70","105.50","102.70","39.37M","-2.17%"
"23-07-2020","106.05","105.45","106.45","104.70","30.72M","0.86%"
"22-07-2020","105.15","108.50","109.75","104.25","50.74M","-3.04%"
"21-07-2020","108.45","106.00","109.70","105.50","66.01M","3.24%"
"20-07-2020","105.05","106.35","106.35","103.85","39.79M","-1.27%"
"17-07-2020","106.40","103.65","106.95","103.30","42.08M","3.35%"
"16-07-2020","102.95","103.95","103.95","100.60","44.33M","-0.24%"
"15-07-2020","103.20","106.80","106.80","102.50","49.69M","-1.85%"
"14-07-2020","105.15","106.90","107.55","104.10","46.93M","-2.64%"
"13-07-2020","108.00","108.85","112.10","106.85","81.90M","0.37%"
"10-07-2020","107.60","106.70","108.60","105.40","64.69M","0.61%"
"09-07-2020","106.95","106.30","108.95","104.65","54.49M","1.52%"
"08-07-2020","105.35","109.50","110.85","104.20","55.89M","-3.39%"
"07-07-2020","109.05","109.80","112.60","108.05","85.84M","0.05%"
"06-07-2020","109.00","105.00","109.90","104.50","91.97M","5.36%"
